N,Iteration,Factor,IR
10,40,MKT_RF,0.3267503435441202
10,40,SMB,-0.16046456018308966
10,40,HML,-0.19383658435708806
10,40,WML,0.07787054661782619
10,41,MKT_RF,0.11275521090315023
10,41,SMB,-0.29133603886846426
10,41,HML,0.6087525671638627
10,41,WML,0.602690940584439
10,42,MKT_RF,0.5753018857025991
10,42,SMB,-0.1646125573655618
10,42,HML,0.564070313879626
10,42,WML,0.061659128825359955
10,43,MKT_RF,0.5036560440014336
10,43,SMB,-0.06746445779054581
10,43,HML,0.6063632348117935
10,43,WML,-0.23057520772668674
10,44,MKT_RF,0.1993876366717689
10,44,SMB,0.04805799185449293
10,44,HML,0.5259660309134464
10,44,WML,0.22554618251778338
10,45,MKT_RF,0.4582183902238414
10,45,SMB,-0.19027244161245319
10,45,HML,-0.17510386293318614
10,45,WML,0.05399273428560183
10,46,MKT_RF,0.3024644089812223
10,46,SMB,-0.4466796379997367
10,46,HML,0.13714782380882115
10,46,WML,0.3936690214707266
10,47,MKT_RF,0.4006938371271418
10,47,SMB,-0.04913128298653156
10,47,HML,0.10029623520931105
10,47,WML,0.09970514732103332
10,48,MKT_RF,0.36908492253602
10,48,SMB,0.029653066261322653
10,48,HML,0.41986709917235493
10,48,WML,0.325347447437217
10,49,MKT_RF,0.4567687422254956
10,49,SMB,0.030935486978194364
10,49,HML,0.3165155314630761
10,49,WML,0.031798366672913955
10,50,MKT_RF,-0.09606917173696809
10,50,SMB,-0.10643871114128178
10,50,HML,0.12570158481884033
10,50,WML,0.9278638325756459
10,51,MKT_RF,0.7769806010690689
10,51,SMB,0.0992764548709183
10,51,HML,-0.14118108116741887
10,51,WML,0.019581701825564405
10,52,MKT_RF,0.17376276467049787
10,52,SMB,0.2860263100604597
10,52,HML,0.4307958107059574
10,52,WML,0.4320717934745171
10,53,MKT_RF,0.21861403923466824
10,53,SMB,0.027721353203699138
10,53,HML,0.0983483840726493
10,53,WML,0.7941248144139259
10,54,MKT_RF,0.5041935841444103
10,54,SMB,-0.11358484236846599
10,54,HML,0.09130783672608568
10,54,WML,0.1120634161036422
10,55,MKT_RF,0.2547155062701935
10,55,SMB,-0.3851984781478444
10,55,HML,0.193432427440827
10,55,WML,0.723720676860944
10,56,MKT_RF,-0.13036315268416615
10,56,SMB,-0.23206359564064338
10,56,HML,0.6497548081503144
10,56,WML,1.1795718482564785
10,57,MKT_RF,0.4306230046181536
10,57,SMB,-0.38591001811275927
10,57,HML,0.6449924938499133
10,57,WML,0.26902441229091667
10,58,MKT_RF,-0.2405253360774401
10,58,SMB,-0.024064714746096397
10,58,HML,0.6440561983653234
10,58,WML,0.7750711256300385
10,59,MKT_RF,0.6334836959142537
10,59,SMB,-0.3182296774736462
10,59,HML,0.44787956455139705
10,59,WML,0.06605186915997997
10,60,MKT_RF,0.5578698967059933
10,60,SMB,0.0384722524893557
10,60,HML,0.09182730750647831
10,60,WML,0.22437825790833874
10,61,MKT_RF,0.751925751203861
10,61,SMB,0.10327712086136873
10,61,HML,-0.1642867918427521
10,61,WML,-0.27222766563244283
10,62,MKT_RF,0.49657974394629373
10,62,SMB,-0.7796863376780682
10,62,HML,0.1673340292209523
10,62,WML,0.2457452369846815
10,63,MKT_RF,0.13129539615132377
10,63,SMB,0.41733914530059785
10,63,HML,0.1982575156994125
10,63,WML,0.6715874964189075
10,64,MKT_RF,-0.036946758056359504
10,64,SMB,-0.02441067874847566
10,64,HML,-0.018824225995634356
10,64,WML,0.9965383714258224
10,65,MKT_RF,0.5542118658287796
10,65,SMB,-0.48251960488740364
10,65,HML,0.2928426994416666
10,65,WML,-0.16965062932690447
10,66,MKT_RF,0.10964000029233538
10,66,SMB,-0.3318264203597388
10,66,HML,0.3793608665999495
10,66,WML,0.7981196193036916
10,67,MKT_RF,0.1585593468577121
10,67,SMB,-0.29967852865536704
10,67,HML,0.042310903800052126
10,67,WML,0.37516378848111454
10,68,MKT_RF,0.4070079493108142
10,68,SMB,-0.5225171962336593
10,68,HML,0.4514381545798904
10,68,WML,0.30423947272617263
10,69,MKT_RF,0.6432381819191512
10,69,SMB,-0.16291011691717178
10,69,HML,-0.09333358343069473
10,69,WML,-0.24450822364150046
10,70,MKT_RF,-0.1745530130395524
10,70,SMB,0.27148497671051264
10,70,HML,0.4237861399459396
10,70,WML,0.9056684383393175
10,71,MKT_RF,0.3850852428157077
10,71,SMB,0.14262407186954698
10,71,HML,0.20998788024971443
10,71,WML,0.25375992083281057
10,72,MKT_RF,0.5821923826480554
10,72,SMB,0.13290692927511857
10,72,HML,0.131187445240617
10,72,WML,0.006170563219285053
10,73,MKT_RF,0.2684285495970601
10,73,SMB,-0.2827804850402463
10,73,HML,-0.05150656906506049
10,73,WML,0.5785264666565624
10,74,MKT_RF,0.45542896572336355
10,74,SMB,0.10291766221067092
10,74,HML,0.2879549789469082
10,74,WML,-0.2773749218992026
10,75,MKT_RF,0.22705637501896475
10,75,SMB,-0.17304733900777206
10,75,HML,0.10616162458312793
10,75,WML,0.39348289110933277
10,76,MKT_RF,0.5504267551904037
10,76,SMB,-0.42493928294377314
10,76,HML,-0.2386728760126962
10,76,WML,0.2557341334860072
10,77,MKT_RF,0.5807768209567358
10,77,SMB,0.07828402555660681
10,77,HML,0.24266154978002066
10,77,WML,0.062273551167882336
10,78,MKT_RF,0.20166091419824386
10,78,SMB,0.009716112236234599
10,78,HML,-0.008154047021171984
10,78,WML,0.4158004597524704
10,79,MKT_RF,0.29738501566820835
10,79,SMB,-0.12926641740708486
10,79,HML,0.35067955378978083
10,79,WML,0.12727324774460433
10,80,MKT_RF,-0.3419017662580986
10,80,SMB,0.5899098321655264
10,80,HML,0.7030271462107968
10,80,WML,1.0542890988872025
10,81,MKT_RF,0.47008983572604995
10,81,SMB,-0.1391024663391309
10,81,HML,0.09414753230745843
10,81,WML,-0.158954759235652
10,82,MKT_RF,0.5185685420744381
10,82,SMB,-0.4148719511230255
10,82,HML,0.22119404407450613
10,82,WML,0.42584265203340066
10,83,MKT_RF,0.468369917603764
10,83,SMB,-0.3212617474515251
10,83,HML,-0.3168015686402876
10,83,WML,0.6527863731984422
10,84,MKT_RF,0.2770032755860855
10,84,SMB,0.2227092894798544
10,84,HML,0.2985981647410254
10,84,WML,-0.10105981954004559
10,85,MKT_RF,0.5113855800290462
10,85,SMB,-0.18644177381109941
10,85,HML,0.2898209261421219
10,85,WML,0.2478775719503461
10,86,MKT_RF,0.6400706725833349
10,86,SMB,-0.3021915459187953
10,86,HML,0.29039200022989864
10,86,WML,0.12318890614516252
10,87,MKT_RF,0.7988923747188413
10,87,SMB,0.031849753177528854
10,87,HML,-0.2642540427155751
10,87,WML,-0.16281312842751236
10,88,MKT_RF,0.15393953837404473
10,88,SMB,0.007709240421262886
10,88,HML,0.174168002462021
10,88,WML,0.561952342743953
10,89,MKT_RF,0.375981032393953
10,89,SMB,-0.06961598868334544
10,89,HML,0.30101332088938254
10,89,WML,0.2404897829125378
10,90,MKT_RF,0.44845721273137407
10,90,SMB,-0.0532389636943492
10,90,HML,-0.4148254559351893
10,90,WML,-0.3653160896989966
10,91,MKT_RF,0.5871239579833444
10,91,SMB,-0.7415445544015764
10,91,HML,0.5181313979779103
10,91,WML,0.07545989563342363
10,92,MKT_RF,-0.003523705035492159
10,92,SMB,-0.14425769788589649
10,92,HML,0.26451604465631073
10,92,WML,0.8072442822299817
10,93,MKT_RF,0.13449915397318107
10,93,SMB,-0.6490431055743089
10,93,HML,0.4371820083100939
10,93,WML,0.6981030923768436
10,94,MKT_RF,0.6415466310170465
10,94,SMB,-0.014569285537645232
10,94,HML,0.20031671903571724
10,94,WML,-0.31999002066628535
10,95,MKT_RF,0.4341514183296631
10,95,SMB,0.31152451187530084
10,95,HML,0.03257239879120647
10,95,WML,-0.04548948909869291
10,96,MKT_RF,0.5598799417280406
10,96,SMB,-0.2684216878370849
10,96,HML,-0.14247663481325237
10,96,WML,0.2701925840870052
10,97,MKT_RF,0.4314051869779717
10,97,SMB,-0.14227158091198203
10,97,HML,-0.1868215514408992
10,97,WML,0.2533178686462241
10,98,MKT_RF,0.013178187885814539
10,98,SMB,0.06020294745149112
10,98,HML,0.5760750194066836
10,98,WML,0.685013668102586
10,99,MKT_RF,0.30708497122420925
10,99,SMB,-0.24705159364282595
10,99,HML,0.4947057970476869
10,99,WML,0.4748463890569307
10,100,MKT_RF,-0.13352923385158874
10,100,SMB,-0.17789996002497707
10,100,HML,0.5776612781770382
10,100,WML,1.1220894889660193
10,101,MKT_RF,0.4229877020620595
10,101,SMB,0.36205869835183435
10,101,HML,0.4019745144394209
10,101,WML,0.09628821985147576
10,102,MKT_RF,0.06380062146974003
10,102,SMB,-0.8211871133747108
10,102,HML,0.3716726049497774
10,102,WML,0.7561103364290479
10,103,MKT_RF,0.548593606035303
10,103,SMB,-0.2818132285868789
10,103,HML,0.2490742874633477
10,103,WML,0.6468792002128606
10,104,MKT_RF,0.30973058170007645
10,104,SMB,-0.10878768025590273
10,104,HML,0.11025071039996452
10,104,WML,0.407120040649237
10,105,MKT_RF,0.17147976539836246
10,105,SMB,-0.007361185341360495
10,105,HML,0.07307658553139076
10,105,WML,0.28080163349652015
10,106,MKT_RF,0.4024482330616674
10,106,SMB,-0.5098290218362456
10,106,HML,0.17885249053433044
10,106,WML,0.26259386882962876
10,107,MKT_RF,0.5632366739997484
10,107,SMB,-0.3309372891174297
10,107,HML,0.32121155547053704
10,107,WML,0.22806318754706328
10,108,MKT_RF,0.32238328878185857
10,108,SMB,0.3372702911003158
10,108,HML,0.4564131842716337
10,108,WML,0.4312224323441256
10,109,MKT_RF,0.41796819103128785
10,109,SMB,0.017045035147071317
10,109,HML,0.5627808705903782
10,109,WML,0.1428409907624173
10,110,MKT_RF,0.1356181199290837
10,110,SMB,-0.020995628356558486
10,110,HML,0.1850933665260193
10,110,WML,0.7332195942418415
10,111,MKT_RF,0.4912604314378948
10,111,SMB,-0.5921834028239281
10,111,HML,0.6750671224358408
10,111,WML,0.44117238709225665
10,112,MKT_RF,0.20459171888161465
10,112,SMB,-0.28306128438359124
10,112,HML,0.3086597390567142
10,112,WML,0.3937309459297063
10,113,MKT_RF,0.14027590650334862
10,113,SMB,-0.5736922296910612
10,113,HML,0.2393120212228358
10,113,WML,0.8314750833180194
10,114,MKT_RF,0.034925361536847895
10,114,SMB,0.04778309148353149
10,114,HML,0.46098325850416305
10,114,WML,0.42466713150939694
10,115,MKT_RF,0.5356078412736129
10,115,SMB,-0.07143751755433593
10,115,HML,0.08550581020015277
10,115,WML,-0.34704683151932497
10,116,MKT_RF,0.5593599626151305
10,116,SMB,-0.08887494191237719
10,116,HML,0.5662611637070062
10,116,WML,0.17314442231428528
10,117,MKT_RF,0.5072577425930878
10,117,SMB,-0.041959817277296495
10,117,HML,0.3189832276799669
10,117,WML,0.2456013582383572
10,118,MKT_RF,0.4733400647045177
10,118,SMB,0.23764110922311144
10,118,HML,0.06016955091438357
10,118,WML,-0.11312598941234851
10,119,MKT_RF,0.07548315469629616
10,119,SMB,-0.3276157569422968
10,119,HML,-0.03774030958173929
10,119,WML,1.134392424253382
10,120,MKT_RF,0.3466543927272967
10,120,SMB,0.15137584233802956
10,120,HML,0.24377521567813287
10,120,WML,0.1566536893368289
10,121,MKT_RF,0.31603491795493877
10,121,SMB,-0.12055114962268998
10,121,HML,0.5682075121886457
10,121,WML,0.01491242553498321
10,122,MKT_RF,0.4479946284854928
10,122,SMB,0.17899329880974307
10,122,HML,-0.12192740529357242
10,122,WML,-0.13304968395991487
10,123,MKT_RF,0.5160158382730995
10,123,SMB,-0.14000213716290155
10,123,HML,0.7030914704107545
10,123,WML,0.336678056271551
10,124,MKT_RF,0.3336210252445764
10,124,SMB,-0.21995530996205126
10,124,HML,0.28214448002649944
10,124,WML,0.24334469852114604
10,125,MKT_RF,0.389832071799791
10,125,SMB,0.11131356991668571
10,125,HML,0.35708448756975963
10,125,WML,0.25021300891272763
10,126,MKT_RF,0.55771416665439
10,126,SMB,-0.19572054320140309
10,126,HML,0.13148431051867063
10,126,WML,-0.07950683138293653
10,127,MKT_RF,0.407380217691176
10,127,SMB,-0.25156861083539733
10,127,HML,0.33186382892589683
10,127,WML,0.7278529000627736
10,128,MKT_RF,0.3834795962077985
10,128,SMB,-0.0020944831376208737
10,128,HML,0.33048883021565806
10,128,WML,0.40846179524234816
10,129,MKT_RF,0.3404193445375594
10,129,SMB,-0.5259037158190303
10,129,HML,0.5247530272260901
10,129,WML,0.37292103311454844
10,130,MKT_RF,0.3128355511942193
10,130,SMB,-0.1300930550216788
10,130,HML,-0.0035255267757432064
10,130,WML,0.3900533710692683
10,131,MKT_RF,0.27465681600562375
10,131,SMB,-0.33880184080248765
10,131,HML,0.5632734581650634
10,131,WML,0.31088113623503366
10,132,MKT_RF,0.4206896310689307
10,132,SMB,-0.2297028871034365
10,132,HML,0.48121048670235356
10,132,WML,-0.03165040693390746
10,133,MKT_RF,0.3988842433241487
10,133,SMB,-0.1276271027505782
10,133,HML,0.29642388144984644
10,133,WML,0.15449336544529269
10,134,MKT_RF,0.2960811275915546
10,134,SMB,-0.61100804094779
10,134,HML,0.4668142385044143
10,134,WML,0.6605858934187004
10,135,MKT_RF,0.6679022274884838
10,135,SMB,-0.196373878432168
10,135,HML,0.04443322681283958
10,135,WML,-0.09117043398220988
10,136,MKT_RF,0.3727207286319245
10,136,SMB,-0.07950154598627909
10,136,HML,0.23579306083833643
10,136,WML,0.13575838014956448
10,137,MKT_RF,0.07632565222550618
10,137,SMB,-0.04691809007810945
10,137,HML,0.07776239596191224
10,137,WML,0.6549310773245657
10,138,MKT_RF,0.35855772133892927
10,138,SMB,0.10253530948140317
10,138,HML,-0.3248552166586575
10,138,WML,0.578618291269517
10,139,MKT_RF,0.06515673875771365
10,139,SMB,-0.6439565557398026
10,139,HML,0.30202983305836273
10,139,WML,0.7037801813321012
10,140,MKT_RF,0.24802951983271215
10,140,SMB,0.013133689147259892
10,140,HML,0.4401060724108006
10,140,WML,0.3798998315813486
10,141,MKT_RF,0.4924403483024252
10,141,SMB,-0.2041737240447132
10,141,HML,0.17572773231598757
10,141,WML,0.12532368391102655
10,142,MKT_RF,0.12985473031406267
10,142,SMB,0.21465425413112071
10,142,HML,0.15265191209082554
10,142,WML,0.9475362323974278
10,143,MKT_RF,0.23264616082437814
10,143,SMB,0.334881373611382
10,143,HML,0.5342922451393193
10,143,WML,0.3747190979546369
10,144,MKT_RF,0.16623697615047645
10,144,SMB,0.016456889938434062
10,144,HML,0.18926985374299538
10,144,WML,0.5904979215828317
10,145,MKT_RF,0.3184168757722323
10,145,SMB,0.014007072300141829
10,145,HML,0.19422053657362745
10,145,WML,0.12701835596692093
10,146,MKT_RF,0.1459887884014184
10,146,SMB,-0.2877085114510469
10,146,HML,0.28866001434715777
10,146,WML,0.49572282749363933
10,147,MKT_RF,0.24123071176785985
10,147,SMB,-0.39453414327380953
10,147,HML,0.4334864121705858
10,147,WML,1.1723820629439865
10,148,MKT_RF,0.4045963102553839
10,148,SMB,-0.032746682762863695
10,148,HML,0.46326827175015267
10,148,WML,0.20997529609425145
10,149,MKT_RF,0.2644959234209773
10,149,SMB,0.5387414203713937
10,149,HML,0.3602886402097455
10,149,WML,0.7985029641158072
10,150,MKT_RF,0.43267548692713975
10,150,SMB,-0.5386731387507364
10,150,HML,0.6243575240779643
10,150,WML,0.25756494335763125
10,151,MKT_RF,0.4934567044049489
10,151,SMB,-0.22494949569356315
10,151,HML,-0.19903338298957812
10,151,WML,0.47005319965590103
10,152,MKT_RF,0.2341435991135199
10,152,SMB,0.23969607065308063
10,152,HML,0.23060723580707562
10,152,WML,0.39742705536490003
10,153,MKT_RF,0.3045797800557897
10,153,SMB,-0.10877627522453852
10,153,HML,0.08618772977932046
10,153,WML,0.1597078914284293
10,154,MKT_RF,0.4789205701158283
10,154,SMB,0.21402237419388795
10,154,HML,-0.19484723720895572
10,154,WML,-0.14717616288523774
10,155,MKT_RF,0.5543295864661488
10,155,SMB,-0.035457954188891555
10,155,HML,0.2517208894648438
10,155,WML,0.06930573730108314
10,156,MKT_RF,0.6602239154201159
10,156,SMB,-0.20865102357401344
10,156,HML,0.22545887833333977
10,156,WML,-0.12394873249872211
10,157,MKT_RF,0.39031705128111693
10,157,SMB,-0.005548754192798574
10,157,HML,0.05874783463169136
10,157,WML,0.4624532907029704
10,158,MKT_RF,0.42769291706891266
10,158,SMB,0.18153945592472653
10,158,HML,0.48472210613507155
10,158,WML,0.29215133407735927
10,159,MKT_RF,0.4596942875922393
10,159,SMB,-0.0685160758086959
10,159,HML,0.3763400612241217
10,159,WML,0.3719228821220206
10,160,MKT_RF,0.597548612309821
10,160,SMB,0.24829526558199572
10,160,HML,-0.11440908874291204
10,160,WML,0.38447117294661065
10,161,MKT_RF,0.42668564503458184
10,161,SMB,0.05779527131929628
10,161,HML,0.7756822546826048
10,161,WML,0.14598179976543754
10,162,MKT_RF,0.3914183703640347
10,162,SMB,-0.019519951227893365
10,162,HML,0.24490345054475568
10,162,WML,0.5997531016154592
10,163,MKT_RF,0.3328158763654178
10,163,SMB,-0.200725538728245
10,163,HML,0.30280903981786245
10,163,WML,1.0888473611433578
10,164,MKT_RF,0.16538173970171072
10,164,SMB,0.03647335803210655
10,164,HML,-0.06508961550057552
10,164,WML,0.6394131183796538
10,165,MKT_RF,0.6180291090992113
10,165,SMB,-0.21067466544928473
10,165,HML,0.2709709744560121
10,165,WML,-0.19424470740122426
10,166,MKT_RF,0.2164093966437259
10,166,SMB,-0.26386108565325606
10,166,HML,0.1534660004991751
10,166,WML,0.49943652558489193
10,167,MKT_RF,0.33052889332140145
10,167,SMB,-0.13710576486580064
10,167,HML,0.1328505614411701
10,167,WML,0.3403883461649063
10,168,MKT_RF,0.274837059389166
10,168,SMB,-0.5563648642483641
10,168,HML,0.4156920611333839
10,168,WML,0.28597859903792394
10,169,MKT_RF,0.22064748681441693
10,169,SMB,-0.30443573722439354
10,169,HML,0.4463288288624918
10,169,WML,0.07390995749540412
10,170,MKT_RF,0.1244358926441857
10,170,SMB,0.09117609767897909
10,170,HML,0.5682666810082934
10,170,WML,0.41076184687520084
10,171,MKT_RF,0.5122241244744888
10,171,SMB,-0.04062982482623676
10,171,HML,-0.025812778756422555
10,171,WML,-0.4762684590044698
10,172,MKT_RF,0.4627762416702107
10,172,SMB,0.2309123341442564
10,172,HML,0.1201192487746186
10,172,WML,0.5303875574387732
10,173,MKT_RF,0.29035411877057005
10,173,SMB,-0.08442548644500253
10,173,HML,0.30404993985344597
10,173,WML,0.010708802669831112
10,174,MKT_RF,0.5481932126614679
10,174,SMB,-0.008422836740458071
10,174,HML,0.6395127318072983
10,174,WML,-0.3893185563925895
10,175,MKT_RF,0.6655537094416313
10,175,SMB,0.2721669028132055
10,175,HML,0.5165702871743011
10,175,WML,-0.6095135224125484
10,176,MKT_RF,0.640968200460625
10,176,SMB,-0.07715865836810397
10,176,HML,0.0784165120780222
10,176,WML,0.17891283418831233
10,177,MKT_RF,0.11008847938063607
10,177,SMB,0.4692503140288953
10,177,HML,0.3670366470911654
10,177,WML,0.9043746306189857
10,178,MKT_RF,0.32465094507577247
10,178,SMB,0.13252005618522142
10,178,HML,0.1556730663408811
10,178,WML,0.31404273645234565
10,179,MKT_RF,0.36769083406873326
10,179,SMB,-0.012526618426734713
10,179,HML,-0.14405690551585268
10,179,WML,0.6987743107002554
10,180,MKT_RF,0.4275254704193884
10,180,SMB,-0.15724830290238997
10,180,HML,-0.09649446616329296
10,180,WML,0.5908554959011417
10,181,MKT_RF,0.03450758193652184
10,181,SMB,-0.07818560967243292
10,181,HML,-0.06347654090705258
10,181,WML,0.8345052898243702
10,182,MKT_RF,0.7317696124377362
10,182,SMB,0.024017499908130534
10,182,HML,0.11471531188522546
10,182,WML,-0.13112988763324193
10,183,MKT_RF,-0.0916841430755174
10,183,SMB,-0.08126859289451552
10,183,HML,0.2376203545649639
10,183,WML,1.1281140852546017
10,184,MKT_RF,0.25530976495821767
10,184,SMB,-0.4814746094265299
10,184,HML,0.19407791375611172
10,184,WML,0.44585274617510845
10,185,MKT_RF,0.5565713889021062
10,185,SMB,-0.1521131429343898
10,185,HML,0.20060042658042893
10,185,WML,-0.2392243836307946
10,186,MKT_RF,0.0358204709115269
10,186,SMB,0.3464064805109544
10,186,HML,0.2680500263978989
10,186,WML,0.8750501230774834
10,187,MKT_RF,-0.3799495751339367
10,187,SMB,-0.09715325191893903
10,187,HML,0.05971269551250503
10,187,WML,1.29749300525456
10,188,MKT_RF,0.4777115662152352
10,188,SMB,-0.2212081166471999
10,188,HML,-0.002528713615665631
10,188,WML,0.1573168680459066
10,189,MKT_RF,0.4658936435424086
10,189,SMB,0.30205775440610955
10,189,HML,0.5443930430317012
10,189,WML,-0.030551982054994185
10,190,MKT_RF,0.37512836711390485
10,190,SMB,-0.5083136607695714
10,190,HML,0.07993371877660994
10,190,WML,0.12911123606465194
10,191,MKT_RF,0.4088344901642777
10,191,SMB,-0.24325012083497452
10,191,HML,0.5985807735062969
10,191,WML,0.5009809585629409
10,192,MKT_RF,0.33342354161647636
10,192,SMB,0.027327742874911305
10,192,HML,0.4244058098309287
10,192,WML,0.3509532427776001
10,193,MKT_RF,0.5126686463024371
10,193,SMB,-0.16768155666175294
10,193,HML,0.5501837697021925
10,193,WML,0.3042700845708081
10,194,MKT_RF,0.3522889034015628
10,194,SMB,-0.1418550036918468
10,194,HML,0.5156053291297824
10,194,WML,0.8198949915527536
10,195,MKT_RF,0.3246818741823227
10,195,SMB,-0.4279037921965936
10,195,HML,0.4413328720687685
10,195,WML,0.19508498282841344
10,196,MKT_RF,0.34075346523431693
10,196,SMB,-0.24153106972107483
10,196,HML,0.09440259190217583
10,196,WML,0.37783875408506395
10,197,MKT_RF,0.5209932532514027
10,197,SMB,-0.03950701133167623
10,197,HML,0.48498371030946485
10,197,WML,-0.07685525054679242
10,198,MKT_RF,0.052627659565560404
10,198,SMB,-0.32196585257011723
10,198,HML,0.27926580365394477
10,198,WML,0.6506065617884556
10,199,MKT_RF,0.5953731220317147
10,199,SMB,-0.38624019832761614
10,199,HML,0.20497578644629233
